,IPnum,IPval,slope,full_AIC,PDS_df,PDS_AIC,PDS_LRT,PDS_p,PDS_pFDR,re_df,re_AIC,re_LRT,re_p,re_pFDR
D_AUD,2,3.4,-0.280456019880196,813.660837877572,4.11190811335284,813.111286742962,7.67426509209599,0.111234265810527,0.206577922219551,24.4823836790702,825.742010227985,61.0459397085535,5.7954895632174e-05,0.000251137881072754
D_CBL,1,1.72,0.37166443794357,857.509862830545,3.26795891725012,856.35103368637,5.37708869032531,0.171950677604809,0.248373200984724,0.999998986605902,859.512833559186,0.00297275542993702,0.956518355549755,0.986224393969472
D_CON,1,2.25,0.48893911840719,868.828030508033,0.439211520683027,869.023871204356,-0.682582345042874,1,1,0.999993482927635,870.829460184824,0.00144271093586212,0.969700490610588,0.986224393969472
D_DAN,1,2.26,0.551752335820368,759.316183425488,2.97496888917224,760.604088125887,7.23784247874414,0.0634888993432967,0.137559281910476,22.0608710272665,768.509876677169,53.3154353062145,0.000211447451215082,0.000687204216449016
D_DMN,1,2.36,1.18807166086653,685.41815992918,4.53054991885819,700.423355309183,24.0662952177196,0.000134051511892058,0.00174266965459676,10.1166642151153,689.168515120412,23.9836836214621,0.00813916719349497,0.0151155962164907
D_FPN,1,2.23,0.748488376335111,702.044739886944,3.26795900803892,707.457272201842,11.948450330976,0.00968440302899592,0.0529916677698523,0.999999074424437,704.046148746276,0.00141071048335561,0.970038857289367,0.986224393969472
D_MEM,2,2.4,0.644326388822398,789.826107269558,1.8777988941822,792.105584130093,6.03507464889981,0.0433129194711514,0.112613590624994,0.999977318242884,791.868479173514,0.0424172674706824,0.83681921557194,0.986224393969472
D_SAL,2,3.37,-0.184476896638984,806.751881388936,1.88578468863254,803.885433829714,0.905121818043881,0.607590136460736,0.789867177398957,10.96032213997,810.858202943124,26.0269658341289,0.00629698851283644,0.0136434751111456
D_SMH,1,2.37,0.190110149055901,832.464340904987,2.81254555779295,827.264236241738,0.42498645233718,0.919671506715113,1,39.5992751936407,861.05682612366,107.791035605954,3.15639368512899e-08,4.10331179066769e-07
D_SMM,2,3.44,-0.144015609494002,943.776014360786,3.36858125081802,939.546450157358,-10.9667267050646,1,1,6.22499955255273,946.523795199065,15.1977799433838,0.0215560505961632,0.0350285822187653
D_SUB,1,2.36,0.225517777598571,773.465729796584,4.00580759741495,772.537355847696,7.08324124594185,0.131979416943203,0.214466552532705,20.527021083437,782.625209482523,50.2135218528128,0.000269619849071249,0.000701011607585246
D_VAN,2,3.71,-0.102339274903966,762.431165120521,2.80527580878241,767.33960124427,10.5189877413136,0.0122288464084275,0.0529916677698523,25.703639706264,774.520584955981,63.4966992479881,4.82569032651395e-05,0.000251137881072754
D_VIS,1,1.92,0.509494732450203,830.110999507282,3.26795906871239,833.561348824425,9.98626745456738,0.0234474609888439,0.0762042482137428,0.999998520723636,832.111294660261,0.000298111531606082,0.986224393969472,0.986224393969472
C_AUD,1,2.23,0.494276011997184,-467.436910446119,3.26795861179675,-466.367608752993,7.60521891671942,0.0669108787621777,0.144973570651385,0.999999685748604,-465.434046623008,0.00286445161401616,0.95731709598356,0.994329777881432
C_CBL,1,2.31,0.626464224043878,-423.929673483913,3.26795883938202,-423.977680796224,6.48791036645378,0.108033194986583,0.166058936636921,0.999999683528668,-421.927582245108,0.00209187174795034,0.963519845472313,0.994329777881432
C_CON,1,1.94,0.354828993443547,-477.368425259921,0.960049628506034,-480.546076892467,-5.09775088955814,1,1,18.6343735333537,-469.95065635663,44.6865159699985,0.000633518953812475,0.00261605256857228
C_DAN,1,1.93,0.598103453282274,-514.797988807673,0.520757695210758,-512.370918972179,1.38555444507267,0.114963879210176,0.166058936636921,19.4131998557424,-506.843284760446,46.7811037587114,0.00047225385695375,0.00261605256857228
C_DMN,1,2.35,0.75166513810051,-545.909925274072,1.91032766484613,-543.877931667954,5.85264893580995,0.0490958665306507,0.141376213146348,7.50977534166745,-542.943346572852,17.9861293845547,0.0162585899725198,0.0301945242346796
C_FPN,1,2.29,0.746751363490809,-523.648001090904,3.26795891693699,-518.769089352617,11.4148295721608,0.0123348506080906,0.0801765289525887,0.999999310091226,-521.64438984491,0.0036126258113427,0.952071804728174,0.994329777881432
C_MEM,2,2.37,0.47080275788391,-469.850968380301,3.26795873336982,-470.559303928812,5.82758191822825,0.142639699682347,0.185431609587051,0.999999901621317,-467.812723638198,0.038244938860089,0.844952088366951,0.994329777881432
C_SAL,1,2.33,0.1756525363551,-479.72820154363,1.84659439223714,-483.612923531191,-0.19153320308601,1,1,18.0955132953028,-472.052433266667,43.8667948675692,0.000632458941478158,0.00261605256857228
C_SMH,1,2.31,0.380600541845397,-448.366149739833,2.82922457284882,-446.692437239225,7.33216164630647,0.0543754665947491,0.141376213146348,17.9293339851186,-441.35064752194,42.874170188131,0.000804939251868393,0.00261605256857228
C_SMM,1,2.34,0.422690133321071,-394.402359480873,3.2330550983444,-396.97576439165,-9.03951510746521,1,1,8.01042590124825,-391.259061398466,19.1641498849037,0.0140885412889237,0.0301945242346796
C_SUB,1,2.31,0.614129483643204,-492.814799597518,0.232795232864451,-489.681121734201,3.5992683290458,0.00886051153604447,0.0801765289525887,11.7788438803813,-488.496744007313,27.8757433509677,0.00514598291373495,0.0133795555757109
C_VAN,1,2.31,0.57349986549184,-524.43194117169,3.26795882062205,-524.418246622737,6.54961219019674,0.105241364502614,0.166058936636921,0.999999764141477,-522.431799349235,0.000142294171951107,0.990482479753166,0.994329777881432
C_VIS,1,2.4,0.579816246899455,-448.199750001271,3.26795880979568,-445.334122495788,9.40154512507399,0.0304207578660228,0.131823284086099,0.999999857806129,-446.199699781554,5.05041045926191e-05,0.994329777881432,0.994329777881432
E_AUD,2,3.76,-0.0766743062475655,-704.19596992893,1.97143273108609,-703.607740817571,4.53109457353116,0.101233956459396,0.146226825996905,29.7312235383584,-686.862815888387,76.7956011172595,4.92643459391238e-06,3.20218248604305e-05
E_CBL,1,2.31,0.816337523395707,-673.265132190322,3.26795467252807,-669.059290736492,10.741750798886,0.0167113338602066,0.0362078900304476,0.999998195095856,-671.263662834706,0.00147296542411368,0.969385119183653,0.969385119183653
E_CON,1,2.28,0.680111785664599,-654.985675463372,6.02471428015933,-652.442282490304,-9.50603558725004,1,1,8.97308696170599,-651.707868373517,21.2239810132673,0.0115218975504407,0.0187230835194661
E_DAN,1,2.33,0.862383243652177,-749.091056465905,1.46620785517958,-742.509283696996,9.51418847926846,0.00433080957135201,0.014075131106894,23.7005483285382,-738.273636393986,58.2185167289954,9.79259173392158e-05,0.000424345641803269
E_DMN,1,2.33,1.20388276734648,-790.095319321665,3.2073917212546,-772.79104781654,23.7190549476344,3.694068725794e-05,0.00048022893435322,21.3930602670676,-780.576493136179,52.3049467196207,0.000210597289740768,0.000684441191657495
E_FPN,1,2.28,0.929650650510737,-775.798228028022,1.31821175092398,-766.36131287673,12.073338653139,0.000901845819810781,0.00586199782877008,12.9047239825413,-771.155268380471,30.4524076126334,0.0038588321948297,0.00819535063235288
E_MEM,2,2.38,0.976899040400107,-748.235455334915,6.18385596555107,-739.206233621717,-3.338490217904,1,1,0.999995459123798,-746.180257535804,0.0552068808633521,0.81423712300795,0.962280236282123
E_SAL,1,2.35,0.475210759471568,-714.058129213579,1.10559676752658,-713.323046584765,2.94627616386754,0.0989031264417364,0.146226825996905,12.3348475283345,-709.546012890431,29.1818113798171,0.00441288110972847,0.00819535063235288
E_SMH,1,2.34,0.451637042394553,-699.710239505145,4.15914793961075,-699.463165321031,8.56537006333508,0.0804557993146815,0.146226825996905,40.7341430024348,-669.47693344605,111.701592063964,1.57806610097666e-08,2.05148593126966e-07
E_SMM,2,3.62,-0.112241556021124,-610.573694286919,4.19848367578765,-612.467461837956,-10.2907349026128,1,1,5.98390603061469,-607.889189147745,14.6523172004029,0.0229141466188395,0.0330982117827682
E_SUB,1,2.34,0.632124234982941,-732.08032494398,0.554277010266951,-728.601591438051,4.587287526463,0.0136867879124911,0.0355856485724769,15.4113998511712,-726.317473383352,36.5856512629708,0.00179356715282194,0.00466327459733703
E_VAN,1,2.15,0.735288097023969,-735.267084459463,35.3169136201581,-749.747219201206,-85.1139619820591,1,1,0.999021404087356,-733.257676605389,0.011365045899197,0.914884120165214,0.969385119183653
E_VIS,1,2.12,0.733508391206237,-687.558030672387,5.77456700784534,-679.150985291488,19.95617939659,0.00237883505385296,0.0103082852333628,1.50661001671454,-685.486777010795,5.08447369502119,0.0476317397079262,0.0619212616203041
L_AUD,2,3.7,0.0989213888903444,-115.403673758022,0.991608001373145,-117.277879752783,0.109010007985546,0.738031537018621,0.959440998124208,34.7738400210383,-90.9452943010002,94.0060594990986,2.3629508048497e-07,1.02394534876821e-06
L_CBL,1,2.34,-0.835061773111508,-59.1920627116755,2.32994487092391,-54.8908273717848,8.96112508173852,0.0161244698976601,0.0349363514449302,0.999998382300674,-57.1889134433994,0.00315250367476949,0.955224339176708,0.955224339176708
L_CON,1,2.33,-0.753255517627927,-104.811457364544,4.02540128404205,-102.241514056931,-5.48085926047162,1,1,22.248803409697,-94.939912337211,54.3691518467266,0.000165186929263714,0.000260736641226142
L_DAN,1,2.34,-0.698151150039357,-139.48012718941,0.43035834296229,-137.751038100761,0.86837240272402,0.148655353256547,0.241564949041888,21.7733399861182,-129.662025130205,53.364782031442,0.000180509982387329,0.000260736641226142
L_DMN,1,2.34,-1.20371289863764,-191.127956226919,3.97765592476215,-173.19142401732,25.8918440591233,3.24594319567489e-05,0.000276679955259869,23.7218999887016,-179.893389566681,58.6783666376415,8.53092344371188e-05,0.000221804009536509
L_FPN,1,2.29,-0.805330717941939,-187.875251874342,3.52956823609249,-181.851310723607,13.0830776229201,0.00732002759926827,0.0190320717580975,34.6254882494859,-164.489084035905,92.6371443374088,3.43466326310422e-07,1.11626556050887e-06
L_MEM,2,2.35,-0.940307225740491,-144.499927497897,5.42240932020102,-137.076485931781,-3.42137707428589,1,1,0.999999123237332,-142.469637357928,0.0302918934949616,0.861829317990033,0.933648427822536
L_SAL,1,2.34,-0.666657236983986,-162.955034963647,0.0684814423508051,-160.38753080921,2.70446703913842,0.00446328189896196,0.0145056661716264,22.6950808216356,-152.537986858169,55.8072097487488,0.000129511192620543,0.000252973497322254
L_SMH,1,2.35,-0.577176159575428,-146.622383289327,3.59870312033755,-145.755811431248,8.06397809875469,0.0691177564322973,0.128361547659981,44.0171603025202,-107.945422276697,126.711281617671,6.14310743978557e-10,3.99301983586062e-09
L_SMM,2,3.57,0.15957765487127,-38.3332112494594,4.95151983791966,-38.8452695488365,-10.4150979752164,1,1,6.4097208618982,-35.5679769734554,15.5846759998004,0.0208120643659713,0.0245960760688752
L_SUB,1,2.36,-0.723582145011895,-110.928803561896,1.39119055590008,-107.778973504114,0.367448945982716,0.685164876097169,0.959440998124208,8.14060433499563,-107.878346044981,19.3316661869065,0.0142689643671199,0.0185496536772559
L_VAN,1,2.19,-0.81576540018416,-170.348021620955,6.38366306722576,-152.492494984468,30.6228527709381,4.25661469630567e-05,0.000276679955259869,46.078119170533,-128.755915384425,133.748344577596,1.77616003988969e-10,2.30900805185660e-09
L_VIS,1,2.12,-0.817480340133805,-131.146517329482,10.6085912294419,-116.672000327148,35.6916994612183,0.00014598423507383,0.000632598351986597,22.9805817473429,-121.018318526124,56.0893622980444,0.000136216498558137,0.000252973497322254
